Software Number,SW Description,Format
X09-91466,SW CD NTRL Outlook 2003 W32 Czech #1 PA BP for Svr,EXE
X09-91468,SW CD NTRL Outlook 2003 W32 Dutch #1 PA BP for Svr,EXE
X09-91469,SW CD NTRL Outlook 2003 W32 Greek #1 PA BP for Svr,EXE
X09-91472,SW CD NTRL Outlook 2003 W32 Japanese #1 PA BP for Svr,EXE
X09-91473,SW CD NTRL Outlook 2003 W32 Korean #1 PA BP for Svr,EXE
X09-91474,SW CD NTRL Outlook 2003 W32 ChnTrad Hong Kong #1 PA BP for Svr,EXE
X09-91475,SW CD NTRL Outlook 2003 W32 Polish #1 PA BP for Svr,EXE
X09-91476,SW CD NTRL Outlook 2003 W32 Portuguese #1 PA BP for Svr,EXE
X09-91479,SW CD NTRL Outlook 2003 W32 Swedish #1 PA BP for Svr,EXE
X09-91481,SW CD NTRL Outlook 2003 W32 Turkish #1 PA BP for Svr,EXE
X09-97072,SW CD InfoPath 2003 W32 Greek By-Pass MLF,EXE
X09-97312,SW CD InfoPath 2003 W32 Portuguese By-Pass MLF,EXE
X09-97314,SW CD InfoPath 2003 W32 Turkish By-Pass MLF,EXE
X09-97315,SW CD InfoPath 2003 W32 ChnTrad Hong Kong By-Pass MLF,EXE
X10-00808,SW CD Windows Svr Web 2003 WINNT English VL Key ISO MLF,ISO
X10-02751,SW CD Windows Svr Ent 2003 WINNT English Diagnostic ISO MLF,ISO
X10-05085,SW CD Windows English MultiLang DirectX 9.0b MLF,EXE
X10-06745,SW CD NTRL Office 2003 W32 Korean #1 Plus Pack,EXE
X10-08975,SW CD InfoPath 2003 W32 Russian MLF,EXE
X10-10578,SW CD Visio Pro 2003 W32 English MultiLang MUI Pack #3 MLF,EXE
X10-10579,SW CD Visio Pro 2003 W32 English MultiLang MUI Pack #4 MLF,EXE
X10-12063,SW CD NTRL Outlook 2003 W32 Spanish -2 #1 PA BP for Svr,EXE
X10-12072,SW CD NTRL Outlook 2003 W32 Spanish -2 #1 PA BP,EXE
X10-13842,SW CD SharePoint Portal Svr 2003 English A MLF,EXE
X10-13845,SW CD SharePoint Portal Svr 2003 French A MLF,EXE
X10-13850,SW CD SharePoint Portal Svr 2003 Italian A MLF,EXE
X10-13851,SW CD SharePoint Portal Svr 2003 Spanish A MLF,EXE
X10-15764,SW CD SharePoint Portal Svr 2003 Danish MLF,EXE
X10-15765,SW CD SharePoint Portal Svr 2003 Brazilian MLF,EXE
X10-17967,SW CD Project Pro 2003 W32 English MultiLang MUI #1 MLF,EXE
X10-17968,SW CD Project Pro 2003 W32 English MultiLang MUI #2 MLF,EXE
X10-17969,SW CD Project Pro 2003 W32 English MultiLang MUI #3 MLF,EXE
X10-17970,SW CD Project Pro 2003 W32 English MultiLang MUI #4 MLF,EXE
X10-23090,SW CD Windows Svr Ent 2003 WINNT English RMS 1.0 MLF,EXE
X10-23791,SW CD Services for Unix 3.5 Japanese #1,EXE
X10-33181,SW CD Visio Pro 2003 W32 Italian -2 MLF,EXE
X10-33182,SW CD Visio Std 2003 W32 Italian -2 MLF,EXE
X10-33183,SW CD Visio Pro 2003 W32 English MultiLang -2 MUI Pack #1 MLF,EXE
X10-37797,SW CD Visio Std 2003 W32 Dutch -2 MLF,EXE
X10-37798,SW CD Visio Pro 2003 W32 Dutch -2 MLF,EXE
X10-39049,SW CD Visio Pro 2003 W32 English MultiLang -2 MUI Pack #2 MLF,EXE
X10-40289,SW CD Project 2003A W32 Turkish #1 PA BP MLF,EXE
X10-40290,SW CD Project 2003A W32 Portuguese #1 PA BP MLF,EXE
X10-40291,SW CD Project 2003A W32 Greek #1 PA BP MLF,EXE
X10-40293,SW CD Project Pro 2003A W32 Turkish #1 PA BP MLF,EXE
X10-40295,SW CD Project Pro 2003A W32 Portuguese #1 PA BP MLF,EXE
X10-40297,SW CD Project Pro 2003A W32 Greek #1 PA BP MLF,EXE
X10-40298,SW CD Project Server 2003A W32 Turkish #1 MLF,EXE
X10-40302,SW CD Project Server 2003A W32 Portuguese #1 MLF,EXE
X10-40303,SW CD Project Server 2003A W32 Greek #1 MLF,EXE
X10-41221,SW CD Class Server 3.0 W32 Dutch #1,EXE
X10-41228,SW CD Class Server 3.0 W32 Danish #1,EXE
X10-41229,SW CD Class Server 3.0 W32 Czech #1,EXE
X10-41884,SW CD NTRL Excel 2003 W32 English -2 #1 PA BP,EXE
X10-41885,SW CD NTRL Word 2003 W32 English -2 #1 PA BP,EXE
X10-41886,SW CD NTRL PowerPoint 2003 W32 English -2 #1 PA BP,EXE
X10-41889,SW CD NTRL Excel 2003 W32 Hebrew -2 #1 PA BP,EXE
X10-41890,SW CD NTRL Excel 2003 W32 German -2 #1 PA BP,EXE
X10-41893,SW CD NTRL PowerPoint 2003 W32 German -2 #1 PA BP,EXE
X10-41897,SW CD NTRL Word 2003 W32 Hebrew -2 #1 PA BP,EXE
X10-41898,SW CD NTRL Word 2003 W32 German -2 #1 PA BP,EXE
X10-41914,SW CD Office Pro 2003 W32 English -2 Ent MLF,EXE
X10-41915,SW CD Office 2003 W32 English -2 MLF,EXE
X10-41916,SW CD Office SB Ed 2003 W32 English -2 MLF,EXE
X10-41917,SW CD Publisher 2003 W32 English -2 MLF,EXE
X10-41937,SW CD Publisher 2003 W32 German -2 MLF,EXE
X10-41939,SW CD Office SB Ed 2003 W32 German -2 MLF,EXE
X10-41940,SW CD Office 2003 W32 German -2 MLF,EXE
X10-41941,SW CD Office Pro 2003 W32 German -2 Ent MLF,EXE
